# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.148150e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	2.254903e-04	3.400006e-03	7.761951e-04	6.135879e-04	1.626072e-04
50            	7.023975e-01	-8.297810e-02	1.692127e+00	1.548461e+00	1.436662e-01
100           	6.629920e-01	-8.491638e-02	1.627195e+00	1.476589e+00	1.506053e-01
150           	6.709406e-01	-7.065371e-02	1.624304e+00	1.483092e+00	1.412113e-01
200           	6.763672e-01	-6.453915e-02	1.626566e+00	1.489650e+00	1.369161e-01
250           	6.793983e-01	-6.173237e-02	1.628474e+00	1.493635e+00	1.348386e-01
300           	6.808592e-01	-6.053740e-02	1.629510e+00	1.495614e+00	1.338959e-01
350           	6.815900e-01	-6.011403e-02	1.630234e+00	1.496707e+00	1.335271e-01
400           	6.819902e-01	-6.003470e-02	1.630853e+00	1.497416e+00	1.334361e-01
450           	6.822216e-01	-6.007832e-02	1.631356e+00	1.497899e+00	1.334561e-01
500           	6.823542e-01	-6.014494e-02	1.631717e+00	1.498213e+00	1.335042e-01
